,id,outage,left,top,right,bottom,HISTO_0,HISTO_1,HISTO_5,HISTO_6,HISTO_8,HISTO_10,HISTO_14,HISTO_15,HISTO_16,HISTO_17,HISTO_18,HISTO_NODATA
13429,113619,28.937728937728945,2160340,-180750,2160840,-181250,0.0,0.0,3.1141868512110724,2.768166089965398,0.6920415224913495,0.0,1.384083044982699,0.0,0.0,92.04152249134948,0.0,0.0
13430,97995,28.935463201088226,2145840,-126250,2146340,-126750,0.0,0.0,3.8062283737024223,1.7301038062283738,0.0,0.0,4.844290657439446,0.0,0.0,89.61937716262976,0.0,0.0
13431,35865,28.935009787866576,2087840,-91250,2088340,-91750,0.0,0.0,36.328125,0.0,0.0,0.0,6.640625,39.84375,0.0,17.1875,0.0,0.0
13432,35906,28.922948239755254,2087840,-111750,2088340,-112250,0.0,0.0,2.941176470588235,0.0,0.0,0.0,43.75,32.35294117647059,0.0,20.955882352941178,0.0,0.0
13433,54665,28.912458936145274,2105340,-128750,2105840,-129250,0.0,0.0,5.514705882352941,0.0,0.0,0.0,37.5,0.0,0.0,56.98529411764706,0.0,0.0
13434,87086,28.879176038657477,2135340,-289250,2135840,-289750,0.0,0.0,5.88235294117647,27.205882352941174,12.867647058823529,0.0,17.647058823529413,3.308823529411765,0.0,33.088235294117645,0.0,0.0
13435,105082,28.856072504662798,2152340,-192250,2152840,-192750,0.0,0.0,1.4705882352941175,0.0,0.0,0.0,0.0,26.838235294117645,0.0,71.69117647058823,0.0,0.0
13437,90458,28.848746249471592,2138840,-102750,2139340,-103250,0.0,0.0,1.4705882352941175,0.0,0.0,0.0,1.4705882352941175,0.0,0.0,97.05882352941177,0.0,0.0
13438,45825,28.846648363932925,2096840,-256250,2097340,-256750,0.0,0.0,7.421875,0.0,0.0,0.0,25.390625,0.0,0.0,67.1875,0.0,0.0
13439,14095,28.846153846153843,2067340,-173750,2067840,-174250,0.0,0.0,6.61764705882353,0.0,0.0,0.0,0.0,53.30882352941176,0.0,40.07352941176471,0.0,0.0
13440,102035,28.84595060711425,2149340,-273750,2149840,-274250,0.0,0.0,40.07352941176471,18.38235294117647,0.0,0.0,0.3676470588235294,25.36764705882353,0.0,15.808823529411764,0.0,0.0
13442,117977,28.825757379601136,2164340,-219750,2164840,-220250,0.7352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.323529411764707,0.0,77.94117647058823
13443,54668,28.800740585117907,2105340,-130250,2105840,-130750,0.0,0.0,87.86764705882352,0.0,0.0,0.0,4.044117647058823,0.0,0.0,8.088235294117647,0.0,0.0
13444,56815,28.793120866564454,2107340,-133750,2107840,-134250,0.0,0.0,34.92647058823529,2.2058823529411766,0.0,0.0,9.926470588235293,0.0,0.0,52.94117647058824,0.0,0.0
13445,99025,28.78689535819234,2146840,-106250,2147340,-106750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
13446,3912,28.773834407476716,2057840,-164750,2058340,-165250,0.0,0.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,31.25,15.625,50.0
13448,43411,28.757349585427882,2094840,-119250,2095340,-119750,0.0,0.0,78.54671280276817,0.0,0.0,0.0,0.6920415224913495,0.0,0.0,20.761245674740483,0.0,0.0
13449,46609,28.75149728196067,2097840,-113250,2098340,-113750,0.0,0.0,92.04152249134948,0.0,0.0,0.0,0.0,0.0,0.0,7.958477508650519,0.0,0.0
13450,122222,28.73831775700934,2168340,-202250,2168840,-202750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
