,HISTO_0,HISTO_1,HISTO_5,HISTO_6,HISTO_8,HISTO_10,HISTO_14,HISTO_15,HISTO_16,HISTO_17,HISTO_18,Vmax,nightlight_prev,outage,Rainfall
20185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,44.94260614982488,21.4648148403195,29.022557617379263,6.6181197
20186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,44.94744414373868,22.55,42.29761278112816,6.6181197
20187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,44.952075098455545,25.5576098667683,28.778747437687695,6.6181197
20188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,44.95649644009351,24.15,31.67701863354037,6.6181197
20190,0.0,0.0,0.0,0.0,0.0,0.0,37.86764705882353,0.0,0.0,1.4705882352941175,60.66176470588235,44.27645679645716,31.5118146658545,6.701659959122627,26.446848
20192,0.0,0.0,0.0,0.0,0.0,0.0,27.941176470588236,0.0,0.0,51.10294117647059,20.955882352941178,44.26073976603384,89.45,61.766349916154276,53.888355
20195,0.0,0.3676470588235294,31.25,4.779411764705882,0.0,0.0,0.0,4.044117647058823,47.05882352941176,12.5,0.0,44.487860241436046,1.85,8.108108108108116,91.20093
20196,0.0,0.0,49.21875,2.34375,0.0,1.953125,0.0,0.0,19.140625,27.34375,0.0,44.612574045943646,3.65,13.698630136986301,91.20093
20197,0.0,1.8382352941176472,33.088235294117645,15.073529411764705,0.0,0.0,2.941176470588235,0.0,0.0,47.05882352941176,0.0,44.623019542642574,5.28462740676225,7.2782316078701825,91.20093
20206,0.0,28.308823529411764,0.0,0.0,0.0,0.0,31.25,5.147058823529411,0.0,35.294117647058826,0.0,44.94374079732185,2.83585160661154,33.30114220071641,91.20093
20207,0.0,80.88235294117648,0.0,16.544117647058822,0.0,0.0,0.0,0.0,0.0,2.5735294117647056,0.0,45.06594471100647,2.55,15.641058913371374,91.20093
20208,0.0,67.96875,0.0,22.65625,0.0,0.0,9.375,0.0,0.0,0.0,0.0,45.076572601334654,1.41772372958975,23.756960253424904,91.20093
20213,0.0,13.602941176470587,0.0,0.0,0.0,0.0,62.86764705882353,19.852941176470587,0.0,3.6764705882352944,0.0,45.35012318471272,0.634871065106396,1.2673814640124665,35.715157
20216,0.0,40.07352941176471,0.0,0.0,0.0,0.0,59.92647058823529,0.0,0.0,0.0,0.0,45.49082484115044,0.603771378130695,7.839849587990533,35.715157
20221,0.0,0.0,2.2058823529411766,0.0,0.0,0.0,0.0,0.0,0.0,97.79411764705883,0.0,45.758368285014654,8.45,1.7751479289940661,35.715157
20290,0.0,0.0,27.941176470588236,0.0,4.044117647058823,0.0,0.0,52.57352941176471,0.0,15.441176470588236,0.0,49.03340463201942,0.591065675992874,8.049648828872384,96.99366
20296,0.0,12.5,1.8382352941176472,20.22058823529412,0.0,0.0,58.45588235294118,0.3676470588235294,0.0,6.61764705882353,0.0,49.1817164084192,0.8,25.000000000000007,96.99366
20297,0.0,3.515625,2.734375,2.734375,0.0,16.40625,44.921875,17.578125,0.0,12.109375,0.0,49.19003633449794,1.08255416138009,71.14111820800196,96.99366
20298,0.0,7.720588235294118,6.25,13.23529411764706,0.0,10.661764705882353,30.514705882352942,18.014705882352942,0.0,13.602941176470587,0.0,49.19827882632634,1.18969284555189,84.55423327404912,72.077415
20299,0.0,0.0,5.88235294117647,4.779411764705882,0.0,0.0,33.088235294117645,54.04411764705882,0.0,2.2058823529411766,0.0,49.206442598310325,0.95,21.052631578947363,72.077415
20300,0.0,1.171875,0.0,5.859375,15.234375,0.0,56.25,12.109375,0.0,9.375,0.0,49.21452631993477,1.50957403808034,50.4335575545622,72.077415
20302,0.0,5.514705882352941,21.323529411764707,25.735294117647058,0.0,16.544117647058822,0.0,2.2058823529411766,0.0,28.676470588235293,0.0,49.230448377548015,4.03420487411396,7.689722956110255,72.077415
20303,0.0,0.0,5.46875,16.015625,0.0,0.0,0.0,0.0,0.0,78.515625,0.0,49.23828405738657,2.5732461696096,31.55253306769873,72.077415
20304,0.0,8.823529411764707,5.88235294117647,3.6764705882352944,0.0,0.0,0.0,0.0,0.0,81.61764705882352,0.0,49.289754634390576,2.4,45.83333333333333,72.077415
20307,0.0,0.0,15.808823529411764,22.058823529411764,0.0,0.0,0.0,0.0,0.0,62.13235294117647,0.0,49.312486507314965,3.74307957201321,2.895257895674983,72.077415
20308,0.0,0.0,7.720588235294118,14.705882352941178,0.0,1.8382352941176472,0.0,0.0,0.0,75.73529411764706,0.0,49.319884029727646,2.67156574522733,13.8309714749763,72.077415
20311,0.0,0.0,29.044117647058826,36.029411764705884,0.0,0.0,1.4705882352941175,1.4705882352941175,0.0,31.985294117647058,0.0,49.38197407892892,3.25,13.846153846153852,72.077415
20312,0.0,0.0,27.34375,26.171875,2.734375,0.0,0.0,0.0,0.0,43.75,0.0,49.44656310519792,18.0642228793885,77.83330526564822,77.61602
20314,0.0,0.7352941176470588,18.38235294117647,15.441176470588236,0.0,0.0,12.132352941176471,3.6764705882352944,0.0,49.63235294117647,0.0,49.45971006024571,3.1,22.580645161290327,77.61602
20316,0.0,1.1029411764705883,8.088235294117647,8.455882352941178,0.0,0.0,65.80882352941177,0.0,0.0,16.544117647058822,0.0,49.50606734237221,1.75,28.57142857142857,77.61602
20317,0.0,3.6764705882352944,14.338235294117647,53.30882352941176,0.0,0.0,17.27941176470588,0.0,0.0,11.397058823529411,0.0,49.51227240229468,1.59182744581388,31.05808267742452,77.61602
20318,0.0,0.0,1.5625,26.171875,0.0,0.0,72.265625,0.0,0.0,0.0,0.0,49.51836859190679,1.9,14.035087719298419,77.61602
20319,0.0,0.0,10.661764705882353,32.35294117647059,6.25,0.0,9.558823529411764,6.25,0.0,34.92647058823529,0.0,49.52435449901611,2.85099322639369,3.8161168608952014,46.35688
20320,0.0,0.0,31.61764705882353,52.57352941176471,0.0,0.0,0.0,1.8382352941176472,0.0,13.970588235294118,0.0,49.560298249261336,2.85,1.925448615703511,46.35688
20324,0.0,0.0,31.61764705882353,12.867647058823529,0.3676470588235294,0.0,26.47058823529412,0.0,0.0,28.676470588235293,0.0,49.63433449918511,2.62729783748363,37.91187525294441,46.35688
20325,0.0,0.0,9.765625,11.71875,0.0,0.0,33.984375,0.0,0.0,44.53125,0.0,49.63901688453115,1.9,65.78947368421053,46.35688
20326,0.0,0.0,12.867647058823529,9.558823529411764,0.0,0.0,41.911764705882355,0.0,0.0,35.661764705882355,0.0,49.66622460066768,2.14095533332609,64.44304735529845,46.35688
20327,0.0,0.0,0.0,7.720588235294118,2.2058823529411766,2.5735294117647056,19.485294117647058,1.8382352941176472,0.0,66.17647058823529,0.0,49.6706521774053,2.2780682062002,42.908791401128774,46.35688
20328,0.0,1.953125,0.0,3.90625,0.0,0.0,59.375,3.90625,0.0,30.859375,0.0,49.67494993906114,1.9,81.57894736842105,46.35688
20329,0.0,0.0,0.0,0.0,0.0,0.0,63.970588235294116,3.6764705882352944,0.0,32.35294117647059,0.0,49.67911653071621,1.5365856853194,71.53280136934343,46.35688
20330,0.0,0.0,1.8382352941176472,0.7352941176470588,0.0,0.0,73.89705882352942,0.0,0.0,23.52941176470588,0.0,49.68315059236095,1.1,63.63636363636363,46.35688
20331,0.0,0.0,5.859375,6.25,0.0,0.0,84.765625,0.0,0.0,3.125,0.0,49.68705077015304,0.826721980025082,82.59844415345587,46.35688
20332,0.0,0.0,0.0,0.0,0.0,0.0,95.22058823529412,0.0,0.0,4.779411764705882,0.0,49.70960538910733,0.549164709411591,99.53954197877839,46.35688
20333,0.0,0.0,0.0,0.0,0.0,0.0,69.85294117647058,0.0,0.0,7.352941176470589,0.3676470588235294,49.71323419470534,0.424977785020427,100.0,46.35688
20334,0.0,0.0,0.0,0.0,0.0,0.0,61.76470588235294,0.0,0.0,0.0,0.3676470588235294,49.723287811747376,0.25,100.0,46.35688
20335,0.0,0.0,0.0,0.0,0.0,0.0,79.296875,0.0,0.0,0.0,20.703125,49.72635701806372,0.336997257461054,100.0,87.22691
20336,0.0,0.0,0.0,0.0,0.0,0.0,25.735294117647058,0.0,0.0,0.0,73.52941176470588,49.72928305954905,0.25,100.0,87.22691
20337,0.0,0.0,0.0,0.0,0.0,0.0,51.10294117647059,0.0,0.0,0.0,48.89705882352941,49.74688679688124,0.47054600273747,32.78617840951091,87.22691
20342,0.0,0.0,16.176470588235293,18.75,4.779411764705882,0.0,16.911764705882355,0.0,0.0,43.38235294117647,0.0,49.75858472019908,0.99339342321901,19.4679588870575,87.22691
20343,0.0,0.0,7.720588235294118,15.808823529411764,0.0,0.0,23.897058823529413,38.23529411764706,0.0,14.338235294117647,0.0,49.76378986698969,1.33432968545421,33.083215845462114,87.22691
20344,0.0,0.0,30.514705882352942,10.294117647058822,2.941176470588235,0.0,20.588235294117645,0.0,0.0,35.661764705882355,0.0,49.76521542467303,1.85,18.918918918918923,87.22691
20345,0.0,0.0,3.515625,33.984375,0.0,0.0,10.546875,0.0,0.0,51.953125,0.0,49.76648428436516,3.45764365680841,32.74640710156787,87.22691
20349,0.0,0.0,0.0,11.397058823529411,4.779411764705882,0.0,2.5735294117647056,18.014705882352942,0.0,63.23529411764706,0.0,49.78071844866923,2.5,30.0,87.22691
20350,0.0,0.0,0.0,0.0,6.25,0.0,0.0,13.970588235294118,0.0,79.77941176470588,0.0,49.78118698437031,3.95238406389235,3.9166366093597915,87.22691
20351,0.0,0.0,0.0,0.390625,5.859375,0.0,4.296875,0.0,0.0,89.453125,0.0,49.78149217739331,4.05698900011635,12.296690999887188,87.22691
20352,0.0,3.308823529411765,0.0,5.88235294117647,1.4705882352941175,0.0,18.38235294117647,0.0,0.0,70.95588235294117,0.0,49.78163298350154,3.0,21.666666666666664,87.22691
20353,0.0,2.2058823529411766,0.0,1.8382352941176472,0.0,0.0,49.26470588235294,0.0,0.0,46.69117647058824,0.0,49.781608376641145,1.7074370078855,47.5651627622146,87.22691
20354,0.0,0.0,0.0,0.0,0.0,0.0,82.421875,0.0,0.0,17.578125,0.0,49.78141734997571,1.15,26.086956521739125,87.22691
20355,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,49.78105891481349,0.95,26.31578947368421,87.22691
20356,0.0,0.0,0.0,0.0,0.0,0.0,97.79411764705883,0.0,0.0,0.0,2.2058823529411766,49.780532104967,0.889321262714383,17.21545358776115,87.22691
20357,0.0,0.0,0.0,0.0,0.0,0.0,98.4375,0.0,0.0,0.0,1.5625,49.77983597241677,0.8,31.25,67.668495
20358,0.0,0.0,0.0,0.0,0.0,0.0,68.01470588235294,0.0,0.0,0.0,31.985294117647058,49.78553506838587,0.74523799233007,89.59269394658483,67.668495
20359,0.0,0.0,0.0,0.0,0.0,0.0,22.426470588235293,0.0,0.0,0.0,77.57352941176471,49.78449749157931,0.7,78.57142857142857,67.668495
20360,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,98.4375,49.783287871381965,0.529284577854432,100.0,84.39162
20361,0.0,0.0,0.0,0.0,0.0,0.0,20.22058823529412,0.0,0.0,0.0,79.77941176470588,49.78034908967817,0.623660048548836,67.9312470847908,84.39162
